date,url,image,name,year,price,km
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-991-2-carrera-4s-cabriolet/,https://www.lavillarose.fr/wp-content/uploads/2024/03/91S_PDK_CAB_B_01_1-768x496.jpg,Porsche 991.2 Carrera 4S Cabriolet,2017,118700 €,57800 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-991-1-targa-4s/,https://www.lavillarose.fr/wp-content/uploads/2024/02/91T4S_NV_01-768x452.jpg,Porsche 991.1 Targa 4S,2016,134700 €,54300 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-981-cayman-2/,https://www.lavillarose.fr/wp-content/uploads/2024/02/Cay2l7_GA_01-1-768x488.jpg,Porsche 981 Cayman,2015,Vendu,72600 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-991-1-targa-4/,https://www.lavillarose.fr/wp-content/uploads/2023/10/57-768x509.jpg,Porsche 991.1 Targa 4,2014,119700 €,44500 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-981-cayman-3/,https://www.lavillarose.fr/wp-content/uploads/2024/03/DSC00691-768x515.jpg,Porsche 981 Cayman,2014,50600 €,69700 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-981-boxster-s-4/,https://www.lavillarose.fr/wp-content/uploads/2024/01/DSC_3487-768x509.jpg,Porsche 981 Boxster S,2013,Réservée,83000 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-981-boxster-s-5/,https://www.lavillarose.fr/wp-content/uploads/2024/01/BoxS_NV_01-1-768x495.jpg,Porsche 981 Boxster S,2013,62800 €,47500 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-997-2-carrera-gts/,https://www.lavillarose.fr/wp-content/uploads/2024/01/97GTS_BC_01-768x531.jpg,Porsche 997.2 Carrera GTS,2012,Réservée,93400 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-991-1-carrera-s-2/,https://www.lavillarose.fr/wp-content/uploads/2024/02/991S_GQ_01-768x471.jpg,Porsche 991.1 Carrera S,2012,Vendu,68000 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-997-2-turbo-s/,https://www.lavillarose.fr/wp-content/uploads/2024/01/DSC00237-768x457.jpg,Porsche 997.2 Turbo S,2011,115800 €,63800 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-987-2-boxster-s-3/,https://www.lavillarose.fr/wp-content/uploads/2024/02/Boxs_NV_01-768x504.jpg,Porsche 987.2 Boxster S,2011,Réservée,93500 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/997-2-carrera-s/,https://www.lavillarose.fr/wp-content/uploads/2023/01/97SPDK_N_01-768x509.jpg,Porsche 997.2 Carrera S,2009,65800 €,115500 kms
2024-04-05 17:26:19 +0200,https://www.lavillarose.fr/nos-voitures/porsche-987-2-boxster-2/,https://www.lavillarose.fr/wp-content/uploads/2023/09/Box2l9_RI_01-768x488.jpg,Porsche 987.2 Boxster,2009,40200 €,47500 kms
